start_step,end_step,forecast_horizon,forecast_MSE,persistence_MSE,percent_improvement,method
41,48,35,0.064389708,0.07815384,17.61158674,warping
41,49,40,0.079183775,0.09851826,19.62528133,warping
41,50,45,0.0888876,0.106093521,16.21769209,warping
41,51,50,0.095774239,0.114396575,16.27875295,warping
42,43,5,0.006641847,0.010182325,34.77081993,warping
42,44,10,0.012925274,0.022931515,43.63532575,warping
42,45,15,0.020182944,0.035440404,43.05103174,warping
42,46,20,0.031932896,0.052096306,38.7041068,warping
42,47,25,0.043704282,0.067544789,35.2958494,warping
42,48,30,0.047742164,0.070112296,31.90614683,warping
42,49,35,0.062600732,0.091315154,31.44540665,warping
42,50,40,0.071231743,0.100055234,28.80758016,warping
42,51,45,0.078052305,0.109045056,28.42196795,warping
42,52,50,0.096285579,0.128106009,24.83913991,warping
43,44,5,0.00637943,0.008122842,21.46307319,warping
43,45,10,0.013853143,0.020665569,32.96510365,warping
43,46,15,0.024044871,0.038117033,36.91830301,warping
43,47,20,0.0351317,0.05426331,35.25699154,warping
43,48,25,0.040191384,0.057147143,29.67035328,warping
43,49,30,0.054805609,0.078732798,30.39037001,warping
43,50,35,0.06394607,0.088473108,27.72259099,warping
43,51,40,0.07063267,0.098023256,27.94294593,warping
43,52,45,0.088372218,0.118868663,25.65558058,warping
43,53,50,0.100307476,0.130896199,23.36868723,warping
44,45,5,0.006852701,0.008911375,23.10163857,warping
44,46,10,0.014526192,0.025490521,43.01335956,warping
44,47,15,0.024333688,0.041664687,41.59637353,warping
44,48,20,0.026313814,0.044767609,41.22131002,warping
44,49,25,0.039606005,0.067458171,41.28805441,warping
44,50,30,0.046153695,0.077429078,40.39229663,warping
44,51,35,0.051308216,0.087244923,41.19059939,warping
44,52,40,0.069042711,0.110804165,37.68942668,warping
44,53,45,0.078983669,0.124268581,36.44115969,warping
44,54,50,0.087869425,0.134992909,34.90811796,warping
45,46,5,0.011719685,0.012926636,9.336935386,warping
45,47,10,0.023315531,0.028661487,18.65205623,warping
45,48,15,0.033050268,0.031764844,-4.046686344,warping
45,49,20,0.041354787,0.054785034,24.51444496,warping
45,50,25,0.057183141,0.064752782,11.69006322,warping
45,51,30,0.064527578,0.075020816,13.98710087,warping
45,52,35,0.082734442,0.100012738,17.27609582,warping
45,53,40,0.097104571,0.11710873,17.08169786,warping
45,54,45,0.109102272,0.128581165,15.14910276,warping
45,55,50,0.116707632,0.131239509,11.07279103,warping
46,47,5,0.011032712,0.01077546,-2.387383641,warping
46,48,10,0.024065541,0.013551992,-77.57936273,warping
46,49,15,0.04631398,0.038143854,-21.41924579,warping
46,50,20,0.056019011,0.048148423,-16.34651228,warping
46,51,25,0.069732127,0.059044246,-18.10147858,warping
46,52,30,0.085121487,0.087002468,2.161986479,warping
46,53,35,0.097146835,0.107769781,9.857072299,warping
46,54,40,0.107388171,0.12198932,11.96920283,warping
46,55,45,0.110676735,0.125149697,11.56452026,warping
46,56,50,0.118674293,0.130342491,8.95195288,warping
47,48,5,0.01053178,0.001641452,-541.6137045,warping
47,49,10,0.016889623,0.022746753,25.74929896,warping
47,50,15,0.027309866,0.031856149,14.27128867,warping
47,51,20,0.035013996,0.044469611,21.26309202,warping
47,52,25,0.052121184,0.075402931,30.87644771,warping
47,53,30,0.066170665,0.099656738,33.60141441,warping
47,54,35,0.079382606,0.116002843,31.56839608,warping
47,55,40,0.086105927,0.119741291,28.09003011,warping
47,56,45,0.098923887,0.125810771,21.37089236,warping
47,57,50,0.113371345,0.129971812,12.77235892,warping
48,49,5,0.022908666,0.021096967,-8.58748756,warping
48,50,10,0.027018992,0.028514346,5.244217859,warping
48,51,15,0.040504666,0.041126904,1.51297112,warping
48,52,20,0.066529801,0.072199442,7.852748294,warping
48,53,25,0.087574285,0.096430689,9.184216902,warping
48,54,30,0.103429989,0.113189952,8.622640658,warping
48,55,35,0.112189639,0.117439375,4.470166483,warping
48,56,40,0.127256366,0.123509014,-3.03407151,warping
48,57,45,0.141223139,0.128209141,-10.15060063,warping
48,58,50,0.159709867,0.13429063,-18.92852658,warping
49,50,5,0.028426888,0.007395297,-284.3914369,warping
49,51,10,0.042004976,0.015906312,-164.0774051,warping
49,52,15,0.06220669,0.048820793,-27.41843309,warping
49,53,20,0.077936081,0.078467575,0.677341724,warping
49,54,25,0.09341805,0.098661059,5.314162396,warping
49,55,30,0.109555234,0.102907484,-6.45992804,warping
49,56,35,0.117999689,0.113498161,-3.966168985,warping
49,57,40,0.126404413,0.121101796,-4.378644493,warping
49,58,45,0.132353145,0.129025593,-2.578986064,warping
49,59,50,0.137716604,0.137940282,0.16215613,warping
50,51,5,0.016950958,0.008476294,-99.98077109,warping
50,52,10,0.0446984,0.040700478,-9.822790046,warping
50,53,15,0.071540395,0.069970427,-2.243760095,warping
50,54,20,0.088755498,0.090955365,2.418622202,warping
50,55,25,0.090846713,0.096804095,6.154060208,warping
50,56,30,0.102645471,0.107396701,4.424000601,warping
50,57,35,0.109587078,0.116178379,5.673431553,warping
50,58,40,0.116550754,0.125082373,6.8208006,warping
50,59,45,0.124849732,0.134690788,7.306405908,warping
50,60,50,0.138064842,0.14914543,7.429385288,warping
51,52,5,0.021670961,0.026980379,19.67881055,warping
51,53,10,0.041961843,0.057985245,27.63358522,warping
51,54,15,0.057807352,0.080603081,28.28146096,warping
51,55,20,0.060056172,0.086448703,30.5297006,warping
51,56,25,0.0673313,0.098632438,31.73513554,warping
51,57,30,0.076087858,0.108992063,30.18954283,warping
51,58,35,0.083639579,0.119259168,29.86738007,warping
51,59,40,0.091869795,0.129622591,29.12516662,warping
51,60,45,0.104279601,0.144812764,27.99004859,warping
51,61,50,0.113390445,0.156449929,27.52285288,warping
